Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1153 ADELAIDE ST N,LONDON,N5Y 2N4,"25,685.00",Square feet,168,0.00000,"375,160.55610",kWh,"110,983.78140",Cubic Meter,,,,,,,,,,,,,,,,,,,"225,040.94391",60.52838,0.00000,
ADELAIDE PCP,Facilities related to the treatment of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,"12,900.00",Square feet,168,8522.75000,"3,360,098.09613",kWh,"125,057.13619",Cubic Meter,,,,,,,,,,,,,,,,,,,"372,681.65583",363.50213,550.19535,
ADELAIDE PUMP STN,Facilities related to the pumping of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,0.00,Square feet,168,7869.33000,"1,012,243.74581",kWh,"108,243.70166",Cubic Meter,,,,,,,,,,,,,,,,,,,"245,692.92435",0.00000,274.81802,
ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",3901 WEST GRAHAM PL,LONDON,N6P 1G4,825.00,Square feet,168,0.00000,"60,227.71552",kWh,,,,,,,,,,,,,,,,,,,,,"2,442.11341",73.00329,0.00000,
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,LONDON,N5Z 1P8,"22,789.00",Square feet,50,0.00000,"869,880.00000",kWh,"58,968.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"146,758.38718",65.67110,0.00000,
AJ TYLER - UNIT QUONSE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"1,700.00",Square feet,168,0.00000,,,"3,999.13000",Cubic Meter,,,,,,,,,,,,,,,,,,,"7,560.86315",25.00110,0.00000,
AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,200.00",Square feet,50,0.00000,"23,534.97277",kWh,"18,232.65694",Cubic Meter,,,,,,,,,,,,,,,,,,,"35,425.44957",35.04961,0.00000,
AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",665 BATHURST ST,LONDON,N5Z 1P8,"1,643.00",Square feet,50,0.00000,116.63000,kWh,"89,835.44154",Cubic Meter,,,,,,,,,,,,,,,,,,,"169,850.04045",581.17326,0.00000,
AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,200.00",Square feet,50,0.00000,"37,952.82833",kWh,"14,374.12422",Cubic Meter,,,,,,,,,,,,,,,,,,,"28,715.01863",30.76094,0.00000,
AJ TYLER BLDG-GUARD SHED,Other,665 BATHURST ST,LONDON,N5Z 1P8,80.00,Square feet,168,0.00000,"6,807.86038",kWh,,,,,,,,,,,,,,,,,,,,,276.04512,85.09825,0.00000,
AJ TYLER BLDG-PKG LOT,Parking garages,663 BATHURST ST,LONDON,N5Z 1P8,"6,200.00",Square feet,168,0.00000,"36,228.41567",kWh,,,,,,,,,,,,,,,,,,,,,"1,468.98980",5.84329,0.00000,
AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,"6,000.00",Square feet,50,0.00000,,,"10,007.34459",Cubic Meter,,,,,,,,,,,,,,,,,,,"18,920.15588",17.72597,0.00000,
ARGYLE ARENA,Indoor recreational facilities,1948 WAVELL ST,LONDON,N5V 1P4,"49,260.00",Square feet,126,0.00000,"1,199,933.02795",kWh,"95,373.02570",Cubic Meter,,,,,,,,,,,,,,,,,,,"228,969.70187",44.93578,0.00000,
ARVA PUMPING,Facilities related to the pumping of water,13966 MEDWAY RD,LONDON,N0M 1C0,"7,800.00",Square feet,168,36011.16000,"5,285,303.94677",kWh,,,,,,,,,,,,,,,,,,,,,"214,308.50443",677.60307,146.76850,
BASIL GROVER PK,Other,555 WHARNCLIFFE RD S,LONDON,N6J 2A1,"1,001.00",Square feet,168,0.00000,"1,654.70646",kWh,,,,,,,,,,,,,,,,,,,,,67.09504,1.65305,0.00000,
BEACHWOOD,Facilities related to the pumping of sewage,326 BEACHWOOD AVE,LONDON,N6J 1K4,0.00,Square feet,168,200.00000,"1,314.09000",kWh,,,,,,,,,,,,,,,,,,,,,53.28372,0.00000,6.57045,
BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,201 WONDERLAND RD S,LONDON,N6K 3T3,"1,200.00",Square feet,168,2779.98000,"264,272.64823",kWh,,,,,,,,,,,,,,,,,,,,,"10,715.72734",220.22721,95.06279,
BLACKBURN FOUNTAIN-THAMES RIVER,Other,78 RIVERSIDE DR,LONDON,N6H 1B4,"17,200.00",Square feet,168,0.00000,"154,222.60486",kWh,,,,,,,,,,,,,,,,,,,,,"6,253.41818",8.96643,0.00000,
BONAVENTURE MEADOWS-SPLASH PAD,Other,141 BONAVENTURE DR,LONDON,N5V 4S6,"7,000.00",Square feet,168,0.00000,716.69742,kWh,,,,,,,,,,,,,,,,,,,,,29.06065,0.10239,0.00000,
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,LONDON,N6L 1J9,375.00,Square feet,168,155.05000,"54,999.76952",kWh,,,,,,,,,,,,,,,,,,,,,"2,230.13065",146.66605,354.72280,
