Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,year
18 MACKELLAR AVE,174.59167,168,LONDON,,,,,"28,482.39546",,,0.0,0.0,,,0.0,,SUNNINGHILL PUMP STN,Facilities related to the pumping of sewage,N6H 3L9,,,,0.00,Square meters,,kWh,,,,,,,,,2013
6664 PACK RD,141.36600,168,LONDON,,,,,"72,772.37744",,,0.0,0.0,,,0.0,,TALBOT VILLAGE PUMP STN,Facilities related to the pumping of sewage,N6P 1M1,,,,18.21,Square meters,,kWh,,,,,,,,,2013
2264 TRAFALGAR ST,690.63300,168,LONDON,,,,,"102,968.62060",,,0.0,0.0,,,0.0,,TRAFALGAR PUMP STN,Facilities related to the pumping of sewage,N5V 4Z8,,,,148.65,Square meters,,kWh,,,,,,,,,2013
27 VICTORIA ST,30.43278,168,LONDON,,,,,"7,933.51684",,,0.0,0.0,,,0.0,,VICTORIA PUMP STN,Facilities related to the pumping of sewage,N6A 2B3,,,,0.00,Square meters,,kWh,,,,,,,,,2013
3129 POMEROY LN,26.52790,168,LONDON,,,,,"25,673.29287",,,0.0,0.0,,,0.0,,WESTFIELD VILLAGE PUMP STN,Facilities related to the pumping of sewage,N6P 0B6,,,,0.00,Square meters,,kWh,,,,,,,,,2013
603 WONDERLAND RD S,375.43800,168,LONDON,,,,,"90,693.13512",,,0.0,0.0,,,0.0,,WESTMOUNT PUMP STN,Facilities related to the pumping of sewage,N6J 4G7,,,,124.03,Square meters,,kWh,,,,,,,,,2013
4695 DINGMAN DR,9277.25200,168,LONDON,,,,,"1,753,776.72757",,,0.0,0.0,,,0.0,,WONDERLAND PUMP STN,Facilities related to the pumping of sewage,N6L 1H4,,,,0.00,Square meters,,kWh,,,,,,,,,2013
13966 MEDWAY RD,"37,641.20",168,LONDON,,,,,"5,708,001.73123",,,0.0,0.0,,,0.0,,ARVA PUMPING,Facilities related to the pumping of water,N0M 1C0,,,,724.66,Square meters,,kWh,,,,,,,,,2013
2835 CLARKE RD,735.9,168,LONDON,,,,,"79,891.75430",,,0.0,0.0,,,0.0,,FANSHAWE WELLS,Facilities related to the pumping of water,N5X 3Y7,,,,0.00,Square meters,,kWh,,,,,,,,,2013
1439 STAFFORDSHIRE RD,"1,822.00",168,LONDON,,,,,"174,207.38496",,,0.0,0.0,,,0.0,,HYDE PARK PUMP STN,Facilities related to the pumping of water,N6H 5P8,,,,121.98,Square meters,,kWh,,,,,,,,,2013
1121 COMMISSIONERS RD E,"1,598.30",168,LONDON,,,,,"372,039.94955",,,0.0,0.0,,,0.0,,POND MILLS PUMP STN,Facilities related to the pumping of water,N5Z 4L9,,,,94.76,Square meters,,kWh,,,,,,,,,2013
844 COMMISSIONERS RD W,"4,284.90",168,LONDON,,,,,"831,318.14143",,,0.0,0.0,,,0.0,,SPRINGBANK PUMP STN/# 3 RES(split),Facilities related to the pumping of water,N6K 1C2,,,,0.00,Square meters,,kWh,,,,,,,,,2013
2080 WICKERSON RD,259.9,168,LONDON,,,,,"109,033.81317",,,0.0,0.0,,,0.0,,WICKERSON PUMP STN,Facilities related to the pumping of water,N6K 5C4,,,,104.05,Square meters,,kWh,,,,,,,,,2013
603 WONDERLAND RD S,589.2,168,LONDON,,,,,"207,330.86645",,,0.0,0.0,,,0.0,,WONDERLAND RD S PUMP STN WSTM,Facilities related to the pumping of water,N6H 3E5,,,,113.72,Square meters,,kWh,,,,,,,,,2013
1201 ADELAIDE ST N,9422.00000,168,LONDON,,,,,"4,030,935.20968",,,0.0,0.0,,,0.0,"108,467.34544",ADELAIDE PCP,Facilities related to the treatment of sewage,N5Y 2N4,,,,"1,198.48",Square meters,,kWh,Cubic Meter,,,,,,,,2013
109 GREENSIDE AVE,47407.00000,168,LONDON,,,,,"22,818,456.87194",,,0.0,0.0,,,0.0,"1,027,652.72245",GREENWAY PCC,Facilities related to the treatment of sewage,N6J 2X5,,,,"3,340.13",Square meters,,kWh,Cubic Meter,,,,,,,,2013
1570 OXFORD ST W,3610.00000,168,LONDON,,,,,"3,376,665.36358",,,0.0,0.0,,,0.0,,OXFORD PCP,Facilities related to the treatment of sewage,N6H 1W2,,,,581.12,Square meters,,kWh,,,,,,,,,2013
1139 HAMILTON RD,9861.00000,168,LONDON,,,,,"4,747,488.91342",,,0.0,0.0,,,0.0,"71,270.61166",POTTERSBURG PCP,Facilities related to the treatment of sewage,N5W 1B1,,,,"1,108.36",Square meters,,kWh,Cubic Meter,,,,,,,,2013
54 PRICE ST,5756.00000,168,LONDON,,,,,"2,858,783.06868",,,0.0,0.0,,,0.0,"36,371.92685",VAUXHALL PCP,Facilities related to the treatment of sewage,N5Z 2H9,,,,0.00,Square meters,,kWh,Cubic Meter,,,,,,,,2013
400 HORTON ST E,,168,LONDON,,,,,"382,198.86323",,,0.0,0.0,,,0.0,"49,575.97737",FIRE HALL # 01,Fire stations and associated offices and facilities,N6B 1L7,,,,"3,060.02",Square meters,,kWh,Cubic Meter,,,,,,,,2013
1103 FLORENCE ST,,168,LONDON,,,,,"403,672.99887",,,0.0,0.0,,,0.0,"44,090.59240",FIRE HALL # 02,Fire stations and associated offices and facilities,N5W 2M7,,,,"2,294.76",Square meters,,kWh,Cubic Meter,,,,,,,,2013
550 COMMISSIONERS RD W,,168,LONDON,,,,,"70,782.70226",,,0.0,0.0,,,0.0,"21,634.26709",FIRE HALL # 03,Fire stations and associated offices and facilities,N6K 1B7,,,,748.07,Square meters,,kWh,Cubic Meter,,,,,,,,2013
807 COLBORNE ST,,168,LONDON,,,,,"76,203.14313",,,0.0,0.0,,,0.0,"7,540.62493",FIRE HALL # 04,Fire stations and associated offices and facilities,N6A 3Z8,,,,410.46,Square meters,,kWh,Cubic Meter,,,,,,,,2013
751 DEVERON CRES,,168,LONDON,,,,,"82,130.56514",,,0.0,0.0,,,0.0,"12,816.67952",FIRE HALL # 05,Fire stations and associated offices and facilities,N5Z 5E6,,,,754.39,Square meters,,kWh,Cubic Meter,,,,,,,,2013
590 OXFORD ST W,,168,LONDON,,,,,"90,199.45480",,,0.0,0.0,,,0.0,"20,795.19321",FIRE HALL # 06,Fire stations and associated offices and facilities,N6H 1T9,,,,898.02,Square meters,,kWh,Cubic Meter,,,,,,,,2013
1295 WEBSTER ST,,168,LONDON,,,,,"49,471.89711",,,0.0,0.0,,,0.0,"14,506.78861",FIRE HALL # 07,Fire stations and associated offices and facilities,N5V 3P8,,,,612.62,Square meters,,kWh,Cubic Meter,,,,,,,,2013
1565 WESTERN RD,,168,LONDON,,,,,"61,395.17226",,,0.0,0.0,,,0.0,"16,821.94570",FIRE HALL # 08,Fire stations and associated offices and facilities,N6G 1H5,,,,612.62,Square meters,,kWh,Cubic Meter,,,,,,,,2013
746 WELLINGTON RD,,168,LONDON,,,,,"126,414.00935",,,0.0,0.0,,,0.0,"23,677.47602",FIRE HALL # 09,Fire stations and associated offices and facilities,N6C 4R2,,,,"1,429.63",Square meters,,kWh,Cubic Meter,,,,,,,,2013
2125 TRAFALGAR ST,,168,LONDON,,,,,"116,282.66449",,,0.0,0.0,,,0.0,"19,094.09296",FIRE HALL # 10,Fire stations and associated offices and facilities,N5V 4Z7,,,,842.00,Square meters,,kWh,Cubic Meter,,,,,,,,2013
7109 WESTMINSTER DR,,168,LONDON,,,,,"88,559.96892",,,0.0,0.0,,,0.0,"21,863.84429",FIRE HALL # 11,Fire stations and associated offices and facilities,N6P 1N4,,,,946.43,Square meters,,kWh,Cubic Meter,,,,,,,,2013
275 BOLER RD,,168,LONDON,,,,,"252,900.53758",,,0.0,0.0,,,0.0,"38,165.40841",FIRE HALL # 12,Fire stations and associated offices and facilities,N6K 2J9,,,,"1,114.86",Square meters,,kWh,Cubic Meter,,,,,,,,2013
275 BOLER RD,,168,LONDON,,,,,13.38909,,,0.0,0.0,,,0.0,,FIRE HALL # 12-GREY BOX SEASONAL,Fire stations and associated offices and facilities,N6K 2J9,,,,9.29,Square meters,,kWh,,,,,,,,,2013
790 FANSHAWE PK RD E,,168,LONDON,,,,,"35,700.48000",,,0.0,0.0,,,0.0,"4,615.23142",FIRE HALL # 13,Fire stations and associated offices and facilities,N5X 1L5,,,,408.78,Square meters,,kWh,Cubic Meter,,,,,,,,2013
2225 HYDE PARK RD,,168,LONDON,,,,,"70,926.92178",,,0.0,0.0,,,0.0,"8,383.72956",FIRE HALL # 14,Fire stations and associated offices and facilities,N6H 5K2,,,,783.10,Square meters,,kWh,Cubic Meter,,,,,,,,2013
675 GROSVENOR ST,,126,LONDON,,,,,"1,011,326.29989",,,0.0,0.0,,,0.0,"94,627.21754",CARLING ARENA,Indoor ice rinks,N5Y 3T5,,,,"4,867.31",Square meters,,kWh,Cubic Meter,,,,,,,,2013
411 TECUMSEH AVE E,,126,LONDON,,,,,"706,190.08831",,,0.0,0.0,,,0.0,"33,900.72732",FARQUHARSON ARENA,Indoor ice rinks,N6C 1T4,,,,"3,583.64",Square meters,,kWh,Cubic Meter,,,,,,,,2013
370 CHIPPENDALE CRES,,126,LONDON,,,,,"469,494.68036",,,0.0,0.0,,,0.0,"41,883.40264",GLEN CAIRN ARENA & POOL,Indoor ice rinks,N5Z 3G2,,,,"2,728.63",Square meters,,kWh,Cubic Meter,,,,,,,,2013
20 GRANVILLE ST,,126,LONDON,,,,,"1,039,617.67895",,,0.0,0.0,,,0.0,"124,414.17151",KINSMEN ARENA SPLASH PAD,Indoor ice rinks,N6H 1J3,,,,"5,251.01",Square meters,,kWh,Cubic Meter,,,,,,,,2013
7112  BEATTIE ST,,126,LONDON,,,,,"701,222.49537",,,0.0,0.0,,,0.0,,LAMBETH ARENA,Indoor ice rinks,N6P 1A2,,,,"3,578.62",Square meters,,kWh,,,,,,,,,2013
119 SHERWOOD FOREST SQ,,126,LONDON,,,,,"469,131.92846",,,0.0,0.0,,,0.0,"84,285.58764",MEDWAY ARENA & SPLASH,Indoor ice rinks,N6G 2C3,,,,"2,324.68",Square meters,,kWh,Cubic Meter,,,,,,,,2013
799 HOMEVIEW RD,,126,LONDON,,,,,"2,002,974.42490",,,0.0,0.0,,,0.0,"122,920.97686",NICHOLS ARENA,Indoor ice rinks,N6C 5S6,,,,"7,019.92",Square meters,,kWh,Cubic Meter,,,,,,,,2013
825 VALETTA,,126,LONDON,,,,,"392,108.45676",,,0.0,0.0,,,0.0,"51,271.88136",OAKRIDGE ARENA-SPL PAD-POOL,Indoor ice rinks,N6H 2Z2,,,,"2,786.14",Square meters,,kWh,Cubic Meter,,,,,,,,2013
50 SYCAMORE ST,,126,LONDON,,,,,"270,271.90081",,,0.0,0.0,,,0.0,"26,508.85521",SILVERWOOD ARENA,Indoor ice rinks,N5Z 1K8,,,,"2,325.61",Square meters,,kWh,Cubic Meter,,,,,,,,2013
1948 WAVELL ST,,126,LONDON,,,,,"1,080,622.22210",,,0.0,0.0,,,0.0,"108,505.66817",ARGYLE ARENA,Indoor recreational facilities,N5V 1P4,,,,"4,576.52",Square meters,,kWh,Cubic Meter,,,,,,,,2013
1221 SANDFORD,,126,LONDON,,,,,"1,659,437.77129",,,0.0,0.0,,,0.0,"133,554.04502",STRONACH ARENA & POOL & SPLASH,Indoor recreational facilities,N5V 2J8,,,,"7,125.09",Square meters,,kWh,Cubic Meter,,,,,,,,2013
1045 WONDERLAND RD N,,126,LONDON,,,,,"2,005,738.44091",,,0.0,0.0,,,0.0,"141,624.34985",CANADA GAMES AQUATIC CTR,Indoor swimming pools,N6G 2Y9,,,,"4,761.21",Square meters,,kWh,Cubic Meter,,,,,,,,2013
654 ELIZABETH ST,,126,LONDON,,,,,"1,014,182.68675",,,0.0,0.0,,,0.0,,CARLING HEIGHTS OCC-POOL (Internal meter),Indoor swimming pools,N5Y 6L3,,,,"1,086.06",Square meters,,kWh,,,,,,,,,2013
565 BRADLEY AVE,,126,LONDON,,,,,"879,842.57548",,,0.0,0.0,,,0.0,"106,115.68903",SOUTH LONDON POOL - TVDSB,Indoor swimming pools,N63 3Z8,,,,"1,683.07",Square meters,,kWh,Cubic Meter,,,,,,,,2013
663 BATHURST ST,,168,LONDON,,,,,,,,0.0,0.0,,,0.0,158.21257,AJ TYLER - UNIT QUONSE,Other,N5Z 1P8,,,,157.94,Square meters,,,Cubic Meter,,,,,,,,2013
665 BATHURST ST,,168,LONDON,,,,,"7,671.75705",,,0.0,0.0,,,0.0,,AJ TYLER BLDG-GUARD SHED,Other,N5Z 1P8,,,,7.43,Square meters,,kWh,,,,,,,,,2013
555 WHARNCLIFFE RD S,,168,LONDON,,,,,"2,013.02484",,,0.0,0.0,,,0.0,,BASIL GROVER PK,Other,N6J 2A1,,,,93.00,Square meters,,kWh,,,,,,,,,2013
1308 NORMAN AVE,,168,LONDON,,,,,"18,457.27883",,,0.0,0.0,,,0.0,,BYRON CC & POOL,Other,N6K 2A3,,,,143.07,Square meters,,kWh,,,,,,,,,2013
1610 COMMISSIONERS RD E,,168,LONDON,,,,,"169,303.97287",,,,,,,,,CITY WIDE SPORTS PARK,Other,N6M 1E8,,,,470.94,Square meters,,kWh,,,,,,,,,2013
75 HORTON ST,,168,LONDON,,,,,"28,382.90364",,,,,,,,,COAL TAR,Other,N6J 1E8,,,,27.87,Square meters,,kWh,,,,,,,,,2013
710 SOUTHDALE RD E,,168,LONDON,,,,,"3,764,776.66468",,,,,,,,"645,317.40865",DEARNESS HOME,Other,N6E 1R8,,,,"17,342.07",Square meters,,kWh,Cubic Meter,,,,,,,,2013
1731 CHURCHILL AVE,,168,LONDON,,,,,34.96296,,,,,,,,,EAST LIONS PARK-POOL,Other,N5W 5P4,,,,343.75,Square meters,,kWh,,,,,,,,,2013
449 BARKER ST,,168,LONDON,,,,,"5,938.07080",,,,,,,,,ED BLAKE PK,Other,N5Y 5B2,,,,97.09,Square meters,,kWh,,,,,,,,,2013
2835 SUNNINGDALE RD E,,168,LONDON,,,,,"228,179.02968",,,,,,,,,FANSHAWE GOLF COURSE-MAIN CLUBHOUSE,Other,N5X 3Y7,,,,"1,053.08",Square meters,,kWh,,,,,,,,,2013
2835 SUNNINGDALE RD E,,168,LONDON,,,,,"39,585.41637",,,,,,,,,FANSHAWE GOLF COURSE-MTCE BLDG,Other,N5X 3Y7,,,,260.13,Square meters,,kWh,,,,,,,,,2013
2835 SUNNINGDALE RD E,,168,LONDON,,,,,"2,481.95585",,,,,,,,,FANSHAWE GOLF COURSE-PARKSIDE NINE,Other,N5X 3Y7,,,,163.51,Square meters,,kWh,,,,,,,,,2013
733 WINDERMERE RD,,168,LONDON,,,,,"3,118.56500",,,,,,,,,FIDO PARK FIELD HOUSE,Other,N5X 3P1,,,,60.11,Square meters,,kWh,,,,,,,,,2013
1 DUNDAS ST,,168,LONDON,,,,,"52,664.30838",,,,,,,,"3,233.84868",FORKS OF THE THAMES MUSEUM & SPL P,Other,N6A 5L7,,,,163.51,Square meters,,kWh,Cubic Meter,,,,,,,,2013
2A GROSVENOR ST,,168,LONDON,,,,,"35,940.40875",,,,,,,,"5,515.52143",GIBBONS PARK-POOL-SPLASH PAD,Other,N6A 1Y4,,,,348.02,Square meters,,kWh,Cubic Meter,,,,,,,,2013
6536 BRADISH RD,,168,LONDON,,,,,"3,037.15407",,,,,,,,,GLANWORTH PARK-FIELD HOUSE,Other,N6N 1N6,,,,201.14,Square meters,,kWh,,,,,,,,,2013
5 GREENSIDE AVE,,168,LONDON,,,,,61.57903,,,,,,,,,GREENWAY PARK #2,Other,N6J 2X5,,,,93.00,Square meters,,kWh,,,,,,,,,2013
101 DENNIS AVE,,168,LONDON,,,,,"1,849.88126",,,,,,,,,HAMLYN PARK-EQUIPMENT BLDG,Other,N6P 1B5,,,,117.62,Square meters,,kWh,,,,,,,,,2013
531 RIDOUT ST N,,168,LONDON,,,,,"24,696.31417",,,,,,,,,HARRIS PARK,Other,N6A 2P9,,,,74.32,Square meters,,kWh,,,,,,,,,2013
331 THAMES ST,,168,LONDON,,,,,"8,074.91121",,,,,,,,,IVEY PARK-PAVILLION,Other,N6A 5N8,,,,125.42,Square meters,,kWh,,,,,,,,,2013
731 VISCOUNT RD,,168,LONDON,,,,,"3,033.84355",,,,,,,,,JESSE DAVIDSON PARK 1-2 SPL PAD,Other,N6J 4G9,,,,46.45,Square meters,,kWh,,,,,,,,,2013
612 HALE ST,,168,LONDON,,,,,"4,418.63708",,,,,,,,,KIWANIS PARK PAVILLION SPL PAD,Other,N5W 1H4,,,,116.41,Square meters,,kWh,,,,,,,,,2013
25 WILSON AVE,,168,LONDON,,,,,"1,690.69907",,,,,,,,,LABATT PARK-CLUB HOUSE,Other,N6H 1X2,,,,132.39,Square meters,,kWh,,,,,,,,,2013
25 WILSON,,168,LONDON,,,,,"4,168.97545",,,,,,,,,LABATT PARK-ENTRANCE SSTNDS,Other,N6H 1X2,,,,264.78,Square meters,,kWh,,,,,,,,,2013
25 WILSON AVE,,168,LONDON,,,,,"255,161.81766",,,,,,,,,LABATT PARK-SSTND,Other,N6H 1X2,,,,"1,647.77",Square meters,,kWh,,,,,,,,,2013
4200 CAMPBELL,,168,LONDON,,,,,"5,954.86333",,,,,,,,,LAMBETH PARK (CAMPBELL ST)-BALL DIAMOND,Other,N6P 1S7,,,,59.65,Square meters,,kWh,,,,,,,,,2013
3502 MANNING DR,,168,LONDON,,,,,"303,893.69553",,,,,,,,"28,724.60554",LANDFILL-W12-A,Other,N6L 1K6,,,,202.81,Square meters,,kWh,Cubic Meter,,,,,,,,2013
65 TWEED CRES,,168,LONDON,,,,,13.51000,,,,,,,,,LITTLE LEAGUE PARK,Other,N5X 1Z5,,,,10.22,Square meters,,kWh,,,,,,,,,2013
640 ADELAIDE ST N,,168,LONDON,,,,,"6,045.03177",,,,,,,,,MCMAHEN PARK,Other,N6B 2G4,,,,106.84,Square meters,,kWh,,,,,,,,,2013
450 NELSON AVE,,168,LONDON,,,,,"2,563.05750",,,,,,,,,MEREDITH PARK-FIELD HOUSE,Other,N6B 1A8,,,,83.61,Square meters,,kWh,,,,,,,,,2013
75 CLIFTONVALE AVE,,168,LONDON,,,,,647.96000,,,,,,,,,MURRAY PARK-FIELD HOUSE,Other,N6J 1J6,,,,83.61,Square meters,,kWh,,,,,,,,,2013
1050 VICTORIA,,168,LONDON,,,,,"32,499.91875",,,,,,,,"6,269.35639",NORTHEAST RECREATION CENTRE-POOL,Other,N5Y 1L2,,,,157.01,Square meters,,kWh,Cubic Meter,,,,,,,,2013
15 MCLEAN DR,,168,LONDON,,,,,"20,426.73645",,,,,,,,,NORTHRIDGE POOL,Other,N5X 1Y3,,,,143.07,Square meters,,kWh,,,,,,,,,2013
825 VALETTA ST,,168,LONDON,,,,,"6,211.90120",,,,,,,,,OAKRDG PK-FLDHS-WADDING PL,Other,N6H 2Z2,,,,131.93,Square meters,,kWh,,,,,,,,,2013
1450 OXFORD ST W,,168,LONDON,,,,,"92,918.52314",,,,,,,,,OXFORD ENVIRO DEPOT,Other,N6H 1W2,,,,92.91,Square meters,,kWh,,,,,,,,,2013
1570 OXFORD ST W,,168,LONDON,,,,,"55,417.21675",,,,,,,,,OXFORD ST W SALT SHED,Other,N6H 1W2,,,,"1,574.37",Square meters,,kWh,,,,,,,,,2013
520 WELLINGTON ST UN 11 &12,,168,LONDON,,,,,"38,299.58617",,,,,,,,,PLANNING/DEV - RENTAL,Other,N6A 4L9,,,,261.90,Square meters,,kWh,,,,,,,,,2013
2115 RIVER RD,,168,LONDON,,,,,"84,667.52402",,,,,,,,"8,657.09093",RIVER RD GOLF COURSE-MAIN CLUBHOUSE,Other,N5W 6C4,,,,418.07,Square meters,,kWh,Cubic Meter,,,,,,,,2013
2115 RIVER RD,,168,LONDON,,,,,"14,884.74366",,,,,,,,,RIVER RD GOLF COURSE-MTCE BLDG,Other,N5W 6C4,,,,222.97,Square meters,,kWh,,,,,,,,,2013
750 WHETTER AVE,,168,LONDON,,,,,"1,269.57787",,,,,,,,,ROWNTREE PARK SPLASH PAD,Other,N6C 2C3,,,,83.24,Square meters,,kWh,,,,,,,,,2013
28 CLARKE RD,,168,LONDON,,,,,"34,139.14032",,,,,,,,,SE 3,Other,N5W 5W5,,,,91.05,Square meters,,kWh,,,,,,,,,2013
50 SYCAMORE ST,,168,LONDON,,,,,"6,925.64790",,,,,,,,,SILVERWOOD BATH HOUSE-SNORKLE,Other,N5Z 1K8,,,,345.61,Square meters,,kWh,,,,,,,,,2013
10 HAZELWOOD AVE,,168,LONDON,,,,,"67,614.39311",,,,,,,,,SOUTHCREST POOL,Other,N6J 3K1,,,,430.71,Square meters,,kWh,,,,,,,,,2013
237 DEVERON CRES,,168,LONDON,,,,,"15,267.79191",,,,,,,,,SOUTHEAST OPT PK-FLD HS-SPL PAD,Other,N5Z 4J7,,,,105.73,Square meters,,kWh,,,,,,,,,2013
682 SOUTHDALE RD W,,168,LONDON,,,,,"33,771.81924",,,,,,,,,SOUTHWEST OPT PARK 1-2,Other,N6K 4W7,,,,161.10,Square meters,,kWh,,,,,,,,,2013
1085 COMMISSIONERS RD W,,168,LONDON,,,,,"38,263.29234",,,,,,,,,SPRINGBANK PARK WASHROOM,Other,N6K 1C5,,,,93.00,Square meters,,kWh,,,,,,,,,2013
1085 COMMISSIONERS RD W,,168,LONDON,,,,,"10,821.67581",,,,,,,,,SPRINGBANK PARK-CONCESSION,Other,N6K 1C5,,,,80.73,Square meters,,kWh,,,,,,,,,2013
1085 COMMISSIONERS RD W,,168,LONDON,,,,,"7,786.26571",,,,,,,,,SPRINGBANK PARK-FLINT SHELTER,Other,N6K 1C6,,,,151.90,Square meters,,kWh,,,,,,,,,2013
1085 COMMISSIONERS RD W,,168,LONDON,,,,,"86,342.86429",,,,,,,,,SPRINGBANK PARK-PUMP HOUSE,Other,N6K 1C6,,,,510.33,Square meters,,kWh,,,,,,,,,2013
1085 COMMISSIONERS RD W,,168,LONDON,,,,,499.88105,,,,,,,,,SPRINGBANK PARK-PUMP HOUSE LIGHTS,Other,N6K 1C7,,,,151.90,Square meters,,kWh,,,,,,,,,2013
883 SPRINGBANK DR,,168,LONDON,,,,,"1,543.14000",,,,,,,,,SPRINGBANK PMP HSE  FCV #8-12,Other,N6K 1A5,,,,298.13,Square meters,,kWh,,,,,,,,,2013
15 TOMMY HUNTER WAY,,168,LONDON,,,,,"2,638.19362",,,,,,,,,ST JULIEN PARK-FIELD HOUSE,Other,N5Z 2T4,,,,51.66,Square meters,,kWh,,,,,,,,,2013
1207 ADELAIDE ST N,,168,LONDON,,,,,"79,979.13844",,,,,,,,,STONEYBROOK RECREATION,Other,N5X 1J9,,,,251.96,Square meters,,kWh,,,,,,,,,2013
1958 STORYBOOK LN,,168,LONDON,,,,,"6,685.61240",,,,,,,,,STORYBOOK -CONCESSION-PIECES OF 8,Other,N6K 4Y6,,,,97.55,Square meters,,kWh,,,,,,,,,2013
1958 STORYBOOK LN,,168,LONDON,,,,,"3,010.56000",,,,,,,,,STORYBOOK PLAYWORLD,Other,N6K 4Y6,,,,"1,328.55",Square meters,,kWh,,,,,,,,,2013
1221 SANDFORD ST,,168,LONDON,,,,,"20,291.97677",,,,,,,,,STRONACH - STADIUM/CONCESSION,Other,N5V 2J8,,,,167.23,Square meters,,kWh,,,,,,,,,2013
850 SUNNINGHILL AVE,,168,LONDON,,,,,"39,855.82204",,,,,,,,,THAMES GC-SNK B 10TH/PARK LT,Other,N6H 3L9,,,,88.26,Square meters,,kWh,,,,,,,,,2013
850 SUNNINGHILL AVE,,168,LONDON,,,,,"277,850.25200",,,,,,,,,THAMES GOLF COURSE-MAIN CLUBHOUSE,Other,N6H 3L9,,,,"1,165.96",Square meters,,kWh,,,,,,,,,2013
850 SUNNINGHILL AVE,,168,LONDON,,,,,"24,314.55164",,,,,,,,,THAMES GOLF COURSE-MTCE BLDG,Other,N6H 3L9,,,,390.20,Square meters,,kWh,,,,,,,,,2013
15 RIDOUT ST,,168,LONDON,,,,,"12,586.01840",,,,,,,,,THAMES PARK-FIELD HOUSE,Other,N6A 4H6,,,,105.26,Square meters,,kWh,,,,,,,,,2013
15 RIDOUT ST,,168,LONDON,,,,,"90,500.23000",,,,,,,,"29,183.84200",THAMES PARK-POOL,Other,N6A 4H6,,,,489.05,Square meters,,kWh,Cubic Meter,,,,,,,,2013
54 PRICE ST,,168,LONDON,,,,,"25,891.76660",,,,,,,,,VAUXHALL PARK-FIELD HOUSE,Other,N5Z 2H9,,,,117.62,Square meters,,kWh,,,,,,,,,2013
580 CLARENCE ST,,168,LONDON,,,,,"131,622.32840",,,,,,,,"21,197.07636",VICTORIA PARK BANDSHELL-ELEC RM,Other,N6A 3N1,,,,756.71,Square meters,,kWh,Cubic Meter,,,,,,,,2013
650 OSGOODE DR,,168,LONDON,,,,,"29,886.83636",,,,,,,,"16,018.73591",WESTMINSTER OPT PK POOL,Other,N6E 2G2,,,,167.51,Square meters,,kWh,Cubic Meter,,,,,,,,2013
654 ELIZABETH ST,,168,LONDON,,,,,"1,887.27283",,,,,,,,,WOLSELY OPS GARAGE(NG shared T-BLOCK),"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Y 6L3,,,,627.11,Square meters,,kWh,,,,,,,,,2013
285 WONDERLAND RD S,,168,LONDON,,,,,"28,786.85474",,,,,,,,,WONDERLAND GARDENS,Other,N6K 3T3,,,,551.02,Square meters,,kWh,,,,,,,,,2013
1153 ADELAIDE ST N,,168,LONDON,,,,,"366,997.77704",,,,,,,,"125,989.93334",ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Y 2N4,,,,"2,386.27",Square meters,,kWh,Cubic Meter,,,,,,,,2013
3901 WEST GRAHAM PL,,168,LONDON,,,,,"57,498.06852",,,,,,,,,ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N6P 1G4,,,,76.65,Square meters,,kWh,,,,,,,,,2013
663 BATHURST ST,,50,LONDON,,,,,"1,703,250.88717",,,,,,,,"149,343.19201",AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,"2,117.22",Square meters,,kWh,Cubic Meter,,,,,,,,2013
663 BATHURST ST,,50,LONDON,,,,,"21,742.31260",,,,,,,,"13,295.57694",AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,576.01,Square meters,,kWh,Cubic Meter,,,,,,,,2013
663 BATHURST ST,,50,LONDON,,,,,216.53371,,,,,,,,"117,502.48526",AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,152.64,Square meters,,kWh,Cubic Meter,,,,,,,,2013
663 BATHURST ST,,50,LONDON,,,,,"39,422.91223",,,,,,,,"17,983.60295",AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,576.01,Square meters,,kWh,Cubic Meter,,,,,,,,2013
663 BATHURST ST,,50,LONDON,,,,,,,,,,,,,"7,942.93948",AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",N5Z 1P8,,,,557.43,Square meters,,,Cubic Meter,,,,,,,,2013
