Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,LONDON,N5Z 1P8,"2,117.22",Square meters,50,,"1,703,250.88717",kWh,"149,343.19201",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,LONDON,N6B 1Z2,"16,257.50",Square meters,126,,"2,551,993.70279",kWh,,,,,,,,,,,,,"3,791.61432",Giga Joule,No,,"2,940.66480",Giga Joule,No,,0.00000,0.00000,0.00000,
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",LONDON,N6A 3R2,261.90,Square meters,60,,"21,751.91759",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
J ALLAN TAYLOR BLDG,"Administrative offices and related facilities, including municipal council chambers",267 DUNDAS ST,LONDON,N6A 1H2,"2,425.76",Square meters,70,,"286,063.89556",kWh,"7,773.09771",Cubic Meter,,,,,,,,,,,"1,396.57127",Giga Joule,No,,"1,851.12560",Giga Joule,No,,0.00000,0.00000,0.00000,
OXFORD OPS CTRE,"Administrative offices and related facilities, including municipal council chambers",1570 OXFORD ST W,LONDON,N6H 1W2,628.50,Square meters,80,,"13,396.94000",kWh,"23,134.47452",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
PROVINCIAL OFFENCE ACT OFFICES,"Administrative offices and related facilities, including municipal council chambers",824 DUNDAS ST,LONDON,N5W 5R1,"2,108.02",Square meters,70,,"336,642.30000",kWh,"30,839.96720",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
T-BLOCK(NG shared WOLSELY),"Administrative offices and related facilities, including municipal council chambers",652 ELIZABETH ST,LONDON,N5Y 4T7,"1,516.21",Square meters,70,,"38,942.61111",kWh,"40,212.63485",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
TOURISM LONDON,"Administrative offices and related facilities, including municipal council chambers",696 WELLINGTON RD,LONDON,N6C 4R2,315.88,Square meters,70,,"32,128.19697",kWh,"10,636.45943",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CENTENNIAL HALL,Performing arts facilities,550 WELLINGTON ST,LONDON,N6A 3P9,"4,649.91",Square meters,70,,"837,310.36489",kWh,,,,,,,,,,,,,"3,740.97646",Giga Joule,No,,"1,024.00410",Giga Joule,No,,0.00000,0.00000,0.00000,
BOYLE CC,Community centres,530 CHARLOTTE ST,LONDON,N5W 4A4,791.74,Square meters,126,,"67,405.16074",kWh,"9,787.48085",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BYRON CC - POLE BASE,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,770.18,Square meters,126,,"101,915.99581",kWh,"23,507.86163",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CARLING HEIGHTS OCC,Community centres,654 ELIZABETH ST,LONDON,N5Y 6L3,"3,538.76",Square meters,126,,"40,582.88442",kWh,"145,490.65122",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CIVIC GARDEN COMPLEX,Community centres,625 SPRINGBANK DR,LONDON,N6K 4T1,"1,794.19",Square meters,126,,"173,292.21570",kWh,"109,942.30792",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
EAST LIONS ARTISANS CC  & POOL,Community centres,1731 CHURCHILL AVE,LONDON,N5W 5P4,620.79,Square meters,126,,"112,597.82342",kWh,"30,761.21869",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
HAMILTON RD SENIORS CENTRE,Community centres,898 TRAFALGAR ST,LONDON,N5Z 1G2,801.03,Square meters,126,,"87,018.95101",kWh,"16,057.39092",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
KIWANIS SENIOR CENTRE,Community centres,78 RIVERSIDE DR,LONDON,N6H 1B4,"1,597.97",Square meters,126,,"257,311.08045",kWh,"21,029.33155",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
LAMBETH CC (NG ALSO FEEDS ARENA),Community centres,7112 BEATTIE ST,LONDON,N6P 1A2,"1,635.13",Square meters,126,,912.54936,kWh,"73,894.00062",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
NORTH LONDON OCC,Community centres,1345 CHEAPSIDE ST,LONDON,N5V 3N9,"5,128.37",Square meters,126,,"677,587.72452",kWh,"72,976.80424",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
SOUTH LONDON CC,Community centres,1119 JALNA BLVD,LONDON,N6E 3B3,"2,736.99",Square meters,126,,"185,254.29543",kWh,"33,298.15724",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
SPRINGBANK GARDENS COM CTRE,Community centres,205 WONDERLAND RD S,LONDON,N6K 3T3,224.83,Square meters,126,,"28,658.60100",kWh,"5,990.59914",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
SPRINGBANK PARK-FLINT COTTAGE,Community centres,1097 SPRINGBANK DR,LONDON,N6K 1C5,164.72,Square meters,70,,"1,672.77474",kWh,"1,207.83356",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
EP WILLIAMS ESTATE,Cultural facilities,101 WINDERMERE RD,LONDON,N6G 2J4,866.81,Square meters,126,,"16,110.50726",kWh,"12,528.59039",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
GROSVENOR LODGE,Cultural facilities,1017 WESTERN RD,LONDON,N6G 1G5,856.59,Square meters,70,,"45,250.21726",kWh,"12,890.11127",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
ADELAIDE PUMP STN,Facilities related to the pumping of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,0.00,Square meters,168,8787.74100,"1,047,291.52668",kWh,"116,165.31212",Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BEACHWOOD,Facilities related to the pumping of sewage,326 BEACHWOOD AVE,LONDON,N6J 1K4,0.00,Square meters,168,3016.57500,"1,335.42290",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,201 WONDERLAND RD S,LONDON,N6K 3T3,111.49,Square meters,168,113.91866,"234,557.11445",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,LONDON,N6L 1J9,34.84,Square meters,168,50.44982,"42,030.38771",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BROOKDALE PUMP STN,Facilities related to the pumping of sewage,24 BROOKDALE AVE,LONDON,N6J 2W4,0.00,Square meters,168,291.87575,"7,809.20725",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,37 TOWER LN,LONDON,N6A 3L1,26.01,Square meters,168,1630.12600,"27,209.30419",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
BYRON PUMP STN,Facilities related to the pumping of sewage,1322 OLD BRIDGE RD,LONDON,N6K 1Y2,50.17,Square meters,168,51.45284,"207,334.47234",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CHELSEA GREEN PUMP STN,Facilities related to the pumping of sewage,1 ADELAIDE ST S,LONDON,N5Z 3K2,9.29,Square meters,168,124.15400,"51,767.89326",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CLARKE RD PUMP STN,Facilities related to the pumping of sewage,479 CLARKE RD,LONDON,N5W 6H1,282.43,Square meters,168,1553.04100,"268,229.60696",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
CRESTWOOD PUMP STN,Facilities related to the pumping of sewage,999 GABOR ST,LONDON,N6K4V5,0.00,Square meters,168,69.73900,"20,646.59907",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
DINGMAN CREEK PUMP STN,Facilities related to the pumping of sewage,3506 DINGMAN DR,LONDON,N6E 3X1,291.72,Square meters,168,0.14900,"170,394.17424",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
EAST PARK PUMP STN,Facilities related to the pumping of sewage,1313 HAMILTON RD,LONDON,N5W 1B1,217.40,Square meters,168,598.02100,"88,794.44987",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
EUSTON ST FAN HOUSE PUMP STN,Facilities related to the pumping of sewage,157 WINSTON AVE,LONDON,N6J 1R7,48.31,Square meters,168,4.32503,"53,505.05132",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
GORE RD PUMP STN,Facilities related to the pumping of sewage,3045 GORE RD,LONDON,N5V 4T2,0.00,Square meters,168,52.30706,"1,729.28858",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
HAZELDON PUMP STN,Facilities related to the pumping of sewage,32 1/2 HAMPTON CRES,LONDON,N6H 2N8,0.00,Square meters,168,849.25100,"10,878.73710",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
HUNT CLUB PUMP STN,Facilities related to the pumping of sewage,104 FITZWILLIAM BLVD,LONDON,N6H 5H4,58.07,Square meters,168,167.28628,"85,752.55161",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
HURON PUMP STN,Facilities related to the pumping of sewage,1099 WILLIAM ST,LONDON,N5Y 2V4,23.78,Square meters,168,695.54600,"24,274.16869",kWh,,,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
HYDE PARK PUMP STN,Facilities related to the pumping of sewage,1439 STAFFORDSHIRE RD,LONDON,N6H 5P8,121.98,Square meters,168,12.02166,"85,160.62542",kWh,29.52600,Cubic Meter,,,,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,
