Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
BROOKDALE PUMP STN,Facilities related to the pumping of sewage,24 BROOKDALE AVE,LONDON,N6J 2W4,0.00,Square feet,168,47.45000,"6,969.89175",kWh,,,,,,,,,,,,,,,,,,,,,278.87234,0.00000,146.88918,
BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,37 TOWER LN,LONDON,N6A 3L1,0.00,Square feet,168,269.63000,"23,997.95958",kWh,,,,,,,,,,,,,,,,,,,,,960.18236,0.00000,89.00330,
BULK WATER DISPENSING STNS,Other,SEVERAL LOCATIONS,LONDON,N6B 1Z2,200.00,Square feet,168,,"11,910.18577",kWh,,,,,,,,,,,,,,,,,,,,,476.53844,59.55093,0.00000,
BYRON CC - POLE BASE,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,"8,290.00",Square feet,126,,"98,509.88182",kWh,"22,060.37841",Cubic Meter,,,,,,,,,,,,,,,,,,,"45,649.42594",40.16437,0.00000,
BYRON CC & POOL,Indoor swimming pools,1308 NORMAN AVE,LONDON,N6K 2A3,"1,540.00",Square feet,168,,"20,940.19466",kWh,,,,,,,,,,,,,,,,,,,,,837.83813,13.59753,0.00000,
BYRON CC-TENNIS COURTS,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,"1,540.00",Square feet,168,,"1,992.90000",kWh,,,,,,,,,,,,,,,,,,,,,79.73792,1.29409,0.00000,
BYRON PUMP STN,Facilities related to the pumping of sewage,1322 OLD BRIDGE RD,LONDON,N6K 1Y2,0.00,Square feet,168,1596.31000,"201,747.74068",kWh,,,,,,,,,,,,,,,,,,,,,"8,072.12885",0.00000,126.38381,
CAMPBELL MEMORIAL PARK,Other,380 DUNDAS ST,LONDON,N6B 1V7,"2,000.00",Square feet,168,,"1,257.63482",kWh,,,,,,,,,,,,,,,,,,,,,50.31923,0.62882,0.00000,
CANADA GAMES AQUATIC CTR,Indoor swimming pools,1045 WONDERLAND RD N,LONDON,N6G 2Y9,"51,248.00",Square feet,126,,"1,012,288.13516",kWh,"152,581.31186",Cubic Meter,,,,,,,,,,,,,,,,,,,"328,977.00848",51.39495,0.00000,
CARLING ARENA,Indoor ice rinks,675 GROSVENOR ST,LONDON,N5Y 3T5,"52,390.00",Square feet,126,,"919,235.01557",kWh,"112,190.08199",Cubic Meter,,,,,,,,,,,,,,,,,,,"248,889.11036",40.30476,0.00000,
CARLING HEIGHTS OCC - SHED,Other,656 ELIZABETH ST,LONDON,N5Y 6L3,"2,000.00",Square feet,126,,"4,631.26797",kWh,"6,512.30740",Cubic Meter,,,,,,,,,,,,,,,,,,,"12,497.64587",36.92131,0.00000,
CARLING HEIGHTS OCC,Community centres,654 ELIZABETH ST,LONDON,N5Y 6L3,"38,090.00",Square feet,126,,"905,744.29371",kWh,"129,079.42495",Cubic Meter,,,,,,,,,,,,,,,,,,,"280,280.78089",59.79448,0.00000,
CARLING HEIGHTS OCC-POOL (Internal meter),Indoor swimming pools,654 ELIZABETH ST,LONDON,N5Y 6L3,"11,690.00",Square feet,126,,"43,322.13290",kWh,,,,,,,,,,,,,,,,,,,,,"1,733.36186",3.70591,0.00000,
CAVENDISH OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",136 CAVENDISH CRES,LONDON,N6H 1A6,850.00,Square feet,168,,"2,562.66968",kWh,,,,,,,,,,,,,,,,,,,,,102.53498,3.01491,0.00000,
CENTENNIAL HALL District Cooling,Auditoriums,550 WELLINGTON ST,LONDON,N6A 3P9,"50,050.00",Square feet,70,0.00000,,,,,,,,,,,,,,,,,,,40.00000,Giga Joule,No,,134.71700,0.06727,0.00000,
CENTENNIAL HALL,Auditoriums,550 WELLINGTON ST,LONDON,N6A 3P9,"50,050.00",Square feet,70,,"703,995.42796",kWh,"3,408.18413",Cubic Meter,,,,,,,,,,,"2,839.00000",Giga Joule,No,,,,,,"202,958.99202",30.54601,0.00000,
CHELSEA GREEN PUMP STN,Facilities related to the pumping of sewage,1 ADELAIDE ST S,LONDON,N5Z 3K2,0.00,Square feet,168,43.83000,"50,691.62863",kWh,,,,,,,,,,,,,,,,,,,,,"2,028.22275",0.00000,"1,156.55096",
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,LONDON,N6B 1Z2,"174,990.00",Square feet,126,,"2,313,755.59105",kWh,,,,,,,,,,,,,"7,857.35000",Giga Joule,No,,"2,517.00000",Giga Joule,No,,"566,980.10768",26.90566,0.00000,
CITY OWNED PROPERTIES,Other,SEVERAL LOCATIONS,LONDON,N6B 1Z3,"5,000.00",Square feet,126,,"4,863.94947",kWh,,,,,,,,,,,,,,,,,,,,,194.61148,0.97279,0.00000,
CITY WIDE SPORTS PARK,Other,1610 COMMISSIONERS RD E,LONDON,N6M 1E8,"5,069.00",Square feet,168,,"160,800.14395",kWh,,,,,,,,,,,,,,,,,,,,,"6,433.77456",31.72226,0.00000,
CIVIC GARDEN COMPLEX,Community centres,625 SPRINGBANK DR,LONDON,N6K 4T1,"19,312.00",Square feet,126,,"159,334.73727",kWh,"111,318.85509",Cubic Meter,,,,,,,,,,,,,,,,,,,"216,837.57521",69.51153,0.00000,
CLARKE RD PUMP STN,Facilities related to the pumping of sewage,479 CLARKE RD,LONDON,N5W 6H1,0.00,Square feet,168,1594.66000,"270,914.00444",kWh,,,,,,,,,,,,,,,,,,,,,"10,839.54023",0.00000,169.88825,
COAL TAR,Other,75 HORTON ST,LONDON,N6J 1E8,300.00,Square feet,168,,"25,334.01151",kWh,,,,,,,,,,,,,,,,,,,,,"1,013.63913",84.44671,0.00000,
