Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments,lat,lng
BLACKBURN FOUNTAIN-THAMES RIVER,Other,78 RIVERSIDE DR,LONDON,N6H 1B4,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,8.96643,0.0,,42.982714156951104,-81.2612008102205
BONAVENTURE MEADOWS-SPLASH PAD,Other,141 BONAVENTURE DR,LONDON,N5V 4S6,0.0,Square feet,168,0.0,716.69742,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,29.06065,0.10239,0.0,,43.006627,-81.15576300000002
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,LONDON,N6L 1J9,375.0,Square feet,168,155.05,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,146.66605,354.7228,,42.9293558617346,-81.2706747389808
BOYLE CC,Community centres,530 CHARLOTTE ST,LONDON,N5W 4A4,0.0,Square feet,126,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,21.33532,0.0,,42.9966771347937,-81.2186794443261
BROOKDALE PUMP STN,Facilities related to the pumping of sewage,24 BROOKDALE AVE,LONDON,N6J 2W4,0.0,Square feet,168,35.66,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,209.39011,0.0,144.81228000000004,,42.9745474,-81.2673897
BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,37 TOWER LN,LONDON,N6A 3L1,280.0,Square feet,168,259.78,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,996.86327,87.80275,94.63689,,43.00869665,-81.2648525560892
BULK WATER DISPENSING STNS,Other,SEVERAL LOCATIONS,LONDON,N6B 1Z2,200.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,448.86475,55.3498,0.0,,,
BYRON CC - POLE BASE,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,0.0,Square feet,126,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,41.12925,0.0,,42.9571509,-81.3361288
BYRON CC & POOL,Indoor swimming pools,1308 NORMAN AVE,LONDON,N6K 2A3,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,765.30209,12.25583,0.0,,42.9571509,-81.3361288
BYRON CC-TENNIS COURTS,Community centres,1308 NORMAN AVE,LONDON,N6K 2A3,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,80.80811,1.29409,0.0,,42.9571509,-81.3361288
