Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Notes,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,full_address,geocode,lat,lng,year
201 WONDERLAND RD S,2779.98,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,95.06279,220.22721,0.0,0.0,0.0,0.0,,BERKSHIRE PUMP STN,Facilities related to the pumping of sewage,N6K 3T3,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9613026,-81.2933324,2015
78 RIVERSIDE DR,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.96643,0.0,0.0,0.0,0.0,,BLACKBURN FOUNTAIN-THAMES RIVER,Other,N6H 1B4,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.982714156951104,-81.2612008102205,2015
141 BONAVENTURE DR,0.0,168,LONDON,0.0,,0.0,0.0,716.69742,0.0,0.0,0.0,0.10239,0.0,0.0,29.06065,0.0,,BONAVENTURE MEADOWS-SPLASH PAD,Other,N5V 4S6,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,43.006627,-81.15576300000002,2015
1451 WHARNCLIFFE RD S,155.05,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,354.7228,146.66605,0.0,0.0,0.0,0.0,,BOSTWICK PUMP STN,Facilities related to the pumping of sewage,N6L 1J9,0.0,0.0,0.0,375.0,Square feet,,kWh,,,,,,,,0.0,,,42.9293558617346,-81.2706747389808,2015
530 CHARLOTTE ST,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.33532,0.0,0.0,0.0,0.0,,BOYLE CC,Community centres,N5W 4A4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9966771347937,-81.2186794443261,2015
24 BROOKDALE AVE,35.66,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,144.81228000000004,0.0,0.0,0.0,209.39011,0.0,,BROOKDALE PUMP STN,Facilities related to the pumping of sewage,N6J 2W4,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9745474,-81.2673897,2015
37 TOWER LN,259.78,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,94.63689,87.80275,0.0,0.0,996.86327,0.0,,BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,N6A 3L1,0.0,0.0,0.0,280.0,Square feet,,kWh,,,,,,,,0.0,,,43.00869665,-81.2648525560892,2015
SEVERAL LOCATIONS,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,55.3498,0.0,0.0,448.86475,0.0,,BULK WATER DISPENSING STNS,Other,N6B 1Z2,0.0,0.0,0.0,200.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
1308 NORMAN AVE,0.0,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,41.12925,0.0,0.0,0.0,0.0,,BYRON CC - POLE BASE,Community centres,N6K 2A3,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9571509,-81.3361288,2015
1308 NORMAN AVE,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.25583,0.0,0.0,765.30209,0.0,,BYRON CC & POOL,Indoor swimming pools,N6K 2A3,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,42.9571509,-81.3361288,2015
