Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Notes,full_address,geocode,lat,lng
NICHOLS ARENA,Indoor ice rinks,799 HOMEVIEW RD,London,N6C 5S6,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,48.36667,,,"799 HOMEVIEW RD, London Ontario","{""lat"": 42.9428687, ""lng"": -81.2524955, ""boundingbox"": [""42.9428187"", ""42.9429187"", ""-81.2525455"", ""-81.2524455""]}",42.942868700000005,-81.2524955
NORTH LONDON OCC,Community centres,1345 CHEAPSIDE ST,London,N5V 3N9,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,24.62751,,,"1345 CHEAPSIDE ST, London Ontario","{""lat"": 43.015113, ""lng"": -81.208542, ""boundingbox"": [""43.015063"", ""43.015163"", ""-81.208592"", ""-81.208492""]}",43.015113,-81.20854200000001
NORTHRIDGE PUMP STN,Facilities related to the pumping of sewage,19 1/2 BENSON CRES,London,N5X 2B1,300.0,Square feet,168,261.0,,kWh,,,,,,,,,,,,,,,,,,,,,,119.13443000000001,136.93613,,"19 1/2 BENSON CRES, London Ontario","{""lat"": 43.0374822339056, ""lng"": -81.2296749004293, ""boundingbox"": [""43.037432233906"", ""43.037532233906"", ""-81.229724900429"", ""-81.229624900429""]}",43.0374822339056,-81.2296749004293
NS SUN-DALE E/O RICHMOND(CH1&1A),Facilities related to the pumping of water,221 SUNNINGDALE RD E,London,N5X 0A6,,Square feet,168,656.1,,kWh,,,,,,,,,,,,,,,,,,,,,,77.72362,159.92515,Uplands Pumping Station - Water Pumping Station - metered,"221 SUNNINGDALE RD E, London Ontario",,,
OAKRIDGE ARENA-SPL PAD-POOL,Indoor ice rinks,825 VALETTA ST,London,N6H 2Z2,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,36.41899,,,"825 VALETTA ST, London Ontario","{""lat"": 42.9753397401807, ""lng"": -81.3055440723341, ""boundingbox"": [""42.975289740181"", ""42.975389740181"", ""-81.305594072334"", ""-81.305494072334""]}",42.9753397401807,-81.30554407233409
OXFORD OPS CTRE,"Administrative offices and related facilities, including municipal council chambers",1420 OXFORD ST W,London,N6H 1W2,,Square feet,80,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,36.23955,,Administration Area,"1420 OXFORD ST W, London Ontario","{""lat"": 42.9632143, ""lng"": -81.3690278, ""boundingbox"": [""42.9632143"", ""42.963339"", ""-81.3690278"", ""-81.3683784""]}",42.9632143,-81.3690278
OXFORD OPS CTRE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1420 OXFORD ST W,London,N6H 1W2,,Square feet,80,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,36.23956,,Garage Area,"1420 OXFORD ST W, London Ontario","{""lat"": 42.9632143, ""lng"": -81.3690278, ""boundingbox"": [""42.9632143"", ""42.963339"", ""-81.3690278"", ""-81.3683784""]}",42.9632143,-81.3690278
OXFORD PCP,Facilities related to the treatment of sewage,1570 OXFORD ST W,London,N6H 1W2,0.0,Square feet,168,3735.0,,kWh,,,,,,,,,,,,,,,,,,,,,,,821.11423,,"1570 OXFORD ST W, London Ontario","{""lat"": 42.971562, ""lng"": -81.3345411, ""boundingbox"": [""42.971512"", ""42.971612"", ""-81.3345911"", ""-81.3344911""]}",42.971562,-81.3345411
PAARDEBURG PUMP STN,Facilities related to the pumping of sewage,31 1/2 PAARDEBURG CRES,London,N5Y 1B9,100.0,Square feet,168,88.0,,kWh,,,,,,,,,,,,,,,,,,,,,,154.4696,175.53364,,"31 1/2 PAARDEBURG CRES, London Ontario","{""lat"": 43.0096572, ""lng"": -81.210976, ""boundingbox"": [""43.0085621"", ""43.010092"", ""-81.2122147"", ""-81.2105727""]}",43.00965720000001,-81.210976
PITCARNIE PUMP STN,Facilities related to the pumping of sewage,58 PITCARNIE CRES - LAWSON ESTAT,London,N6G 4N3,100.0,Square feet,168,13.0,,kWh,,,,,,,,,,,,,,,,,,,,,263.64,32.955,253.5,,"58 PITCARNIE CRES - LAWSON ESTAT, London Ontario",,,
POND MILLS PUMP STN,Facilities related to the pumping of water,1121 OMMISSIONERS RD E,London,N5Z 4L9,,Square feet,168,7579.356,,kWh,,,,,,,,,,,,,,,,,,,,,,370.57165,49.87008,Water Pumping Station - Metered,"1121 OMMISSIONERS RD E, London Ontario",,,
POTTERSBURG PCP,Facilities related to the treatment of sewage,1139 HAMILTON RD,London,N5W 1B1,,Square feet,168,10656.0,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,392.7901,439.75093,,"1139 HAMILTON RD, London Ontario","{""lat"": 42.96536, ""lng"": -81.1441235, ""boundingbox"": [""42.9639102"", ""42.9683807"", ""-81.1499604"", ""-81.1406169""]}",42.96536,-81.14412349999999
PROVINCIAL OFFENCE ACT OFFICES,"Administrative offices and related facilities, including municipal council chambers",824 DUNDAS ST,London,N5W 5R1,,Square feet,70,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,30.621109999999998,,,"824 DUNDAS ST, London Ontario","{""lat"": 42.9911735352941, ""lng"": -81.2240402705882, ""boundingbox"": [""42.991123535294"", ""42.991223535294"", ""-81.224090270588"", ""-81.223990270588""]}",42.9911735352941,-81.2240402705882
RIVER BEND PUMP STN,Facilities related to the pumping of sewage,2120 KAINS RD,London,N6K 0C1,,Square feet,168,246.0,,kWh,,,,,,,,,,,,,,,,,,,,,,62.51974000000001,965.75211,,"2120 KAINS RD, London Ontario","{""lat"": 42.9694926, ""lng"": -81.3702385, ""boundingbox"": [""42.9686776"", ""42.9702685"", ""-81.3708518"", ""-81.3695281""]}",42.9694926,-81.3702385
ROSE GARDEN - OFFICE/STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",645 SPRINGBANK DR (605),London,N6K 4T1,,Square feet,70,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,22.40338,,,"645 SPRINGBANK DR (605), London Ontario","{""lat"": 42.9619785428571, ""lng"": -81.2967508821429, ""boundingbox"": [""42.961928542857"", ""42.962028542857"", ""-81.296800882143"", ""-81.296700882143""]}",42.9619785428571,-81.2967508821429
SANDFORD PUMP STN,Facilities related to the pumping of sewage,1251 SANDFORD ST,London,N5V 3Y1,100.0,Square feet,168,187.0,,kWh,,,,,,,,,,,,,,,,,,,,,,316.5374,169.27133999999998,,"1251 SANDFORD ST, London Ontario","{""lat"": 43.023127, ""lng"": -81.204989, ""boundingbox"": [""43.023077"", ""43.023177"", ""-81.205039"", ""-81.204939""]}",43.023127,-81.204989
SILVERWOOD ARENA,Indoor ice rinks,50 SYCAMORE ST,London,N5Z 1K8,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,22.7424,,,"50 SYCAMORE ST, London Ontario","{""lat"": 42.98324692, ""lng"": -81.20611992, ""boundingbox"": [""42.98319692"", ""42.98329692"", ""-81.20616992"", ""-81.20606992""]}",42.98324692,-81.20611992
SOUTH LONDON CC,Community centres,1119 JALNA BLVD,London,N6E 3B3,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,16.796879999999998,,,"1119 JALNA BLVD, London Ontario","{""lat"": 42.9306748, ""lng"": -81.2273092, ""boundingbox"": [""42.9306248"", ""42.9307248"", ""-81.2273592"", ""-81.2272592""]}",42.9306748,-81.22730920000001
SOUTHLAND POLLUTION PLANT,Facilities related to the pumping of sewage,100 DENNIS AVE,London,N6P 1B5,640.0,Square feet,168,112619.0,,kWh,,,,,,,,,,,,,,,,,,,,,,279.47481,1.58822,,"100 DENNIS AVE, London Ontario","{""lat"": 42.9076268, ""lng"": -81.2898129, ""boundingbox"": [""42.90635"", ""42.9082446"", ""-81.2948354"", ""-81.2872188""]}",42.907626799999996,-81.2898129
SOUTHWINDS PUMP STN,Facilities related to the pumping of sewage,3938 WEST GRAHAM PL,London,N6P 1G3,430.0,Square feet,168,101.0,,kWh,,,,,,,,,,,,,,,,,,,,,,290.18595,,,"3938 WEST GRAHAM PL, London Ontario","{""lat"": 42.9162442664427, ""lng"": -81.3204768112991, ""boundingbox"": [""42.916194266443"", ""42.916294266443"", ""-81.320526811299"", ""-81.320426811299""]}",42.9162442664427,-81.3204768112991
SPRINGBANK GARDENS COM CTRE,Community centres,205 WONDERLAND RD S,London,N6K 3T3,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,30.708740000000002,,,"205 WONDERLAND RD S, London Ontario","{""lat"": 42.9613026, ""lng"": -81.2933324, ""boundingbox"": [""42.9591668"", ""42.9635958"", ""-81.29361"", ""-81.2929561""]}",42.9613026,-81.2933324
SPRINGBANK PARK-FLINT COTTAGE,Community centres,1097 COMMISSIONERS RD W,London,N6K 1C5,,Square feet,70,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,22.81404,,,"1097 COMMISSIONERS RD W, London Ontario","{""lat"": 42.9568748571429, ""lng"": -81.3221416857143, ""boundingbox"": [""42.956824857143"", ""42.956924857143"", ""-81.322191685714"", ""-81.322091685714""]}",42.9568748571429,-81.32214168571429
SPRINGBANK RES #3,Facilities related to the pumping of water,844 COMMISSIONERS RD W,London,N6K 1C2,,Square feet,168,4471.8,,kWh,,,,,,,,,,,,,,,,,,,,,,414.54062000000016,165.4714,Pumping Station Metered,"844 COMMISSIONERS RD W, London Ontario","{""lat"": 42.9531075043478, ""lng"": -81.3094974652174, ""boundingbox"": [""42.953057504348"", ""42.953157504348"", ""-81.309547465217"", ""-81.309447465217""]}",42.9531075043478,-81.3094974652174
STORAGE BUILDING,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1220 ADELAIDE ST N,London,N5Y 2N4,,Square feet,70,,,kWh,,,,,,,,,,,,,,,,,,,,,699.9,3.58555,,,"1220 ADELAIDE ST N, London Ontario","{""lat"": 43.0114376, ""lng"": -81.2427961, ""boundingbox"": [""43.0110358"", ""43.0115278"", ""-81.2428645"", ""-81.2425302""]}",43.0114376,-81.24279609999999
STRONACH ARENA & POOL,Indoor recreational facilities ,1221 SANDFORD ST,London,N5V 2J8,,Square feet,126,,,kWh,,Cubic meter,,,,,,,,,,,,,,,,,,,,40.88542,,,"1221 SANDFORD ST, London Ontario","{""lat"": 43.020539, ""lng"": -81.203634, ""boundingbox"": [""43.020489"", ""43.020589"", ""-81.203684"", ""-81.203584""]}",43.020539,-81.203634
SUMMERCREST PUMP STN,Facilities related to the pumping of sewage,135 OPTIMIST PARK DR,London,N6K 4M1,625.0,Square feet,168,138.0,,kWh,,,,,,,,,,,,,,,,,,,,,,60.01914,271.8258,,"135 OPTIMIST PARK DR, London Ontario","{""lat"": 42.9386549979543, ""lng"": -81.3360206596018, ""boundingbox"": [""42.938604997954"", ""42.938704997954"", ""-81.336070659602"", ""-81.335970659602""]}",42.938654997954295,-81.3360206596018
SUNNINGHILL PUMP STN,Facilities related to the pumping of sewage,18 MACKELLAR AVE,London,N6H 3L9,0.0,Square feet,168,168.0,,kWh,,,,,,,,,,,,,,,,,,,,,,,209.74131,,"18 MACKELLAR AVE, London Ontario","{""lat"": 42.9658544, ""lng"": -81.2987181, ""boundingbox"": [""42.9656291"", ""42.9660484"", ""-81.2989568"", ""-81.2980891""]}",42.9658544,-81.2987181
TALBOT VILLAGE PUMP STN,Facilities related to the pumping of sewage,6664 PACK RD,London,N6P 1M1,196.0,Square feet,168,181.0,,kWh,,,,,,,,,,,,,,,,,,,,,,397.66622,430.62199000000004,,"6664 PACK RD, London Ontario","{""lat"": 42.9256433, ""lng"": -81.3147283, ""boundingbox"": [""42.9256433"", ""42.9266047"", ""-81.3147283"", ""-81.31088""]}",42.9256433,-81.3147283
