Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments,lat,lng
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,LONDON,N5Z 1P8,,Square meters,50,,,kWh,,Cubic Meter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,42.984855200000005,-81.2304173
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,LONDON,N6B 1Z2,,Square meters,126,,,kWh,,,,,,,,,,,,,,Giga Joule,,,,Giga Joule,,,0.0,0.0,0.0,,42.987750399999996,-81.2464214
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",LONDON,N6A 3R2,261.9,Square meters,60,,,kWh,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
J ALLAN TAYLOR BLDG,"Administrative offices and related facilities, including municipal council chambers",267 DUNDAS ST,LONDON,N6A 1H2,,Square meters,70,,,kWh,,Cubic Meter,,,,,,,,,,,,Giga Joule,,,,Giga Joule,,,0.0,0.0,0.0,,42.98471,-81.2454562
OXFORD OPS CTRE,"Administrative offices and related facilities, including municipal council chambers",1570 OXFORD ST W,LONDON,N6H 1W2,628.5,Square meters,80,,,kWh,,Cubic Meter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,42.971562,-81.3345411
PROVINCIAL OFFENCE ACT OFFICES,"Administrative offices and related facilities, including municipal council chambers",824 DUNDAS ST,LONDON,N5W 5R1,,Square meters,70,,,kWh,,Cubic Meter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,42.9911735352941,-81.2240402705882
T-BLOCK(NG shared WOLSELY),"Administrative offices and related facilities, including municipal council chambers",652 ELIZABETH ST,LONDON,N5Y 4T7,,Square meters,70,,,kWh,,Cubic Meter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,42.9987718,-81.233576
TOURISM LONDON,"Administrative offices and related facilities, including municipal council chambers",696 WELLINGTON RD,LONDON,N6C 4R2,315.88,Square meters,70,,,kWh,,Cubic Meter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,42.94773575,-81.2269444506159
CENTENNIAL HALL,Performing arts facilities,550 WELLINGTON ST,LONDON,N6A 3P9,,Square meters,70,,,kWh,,,,,,,,,,,,,,Giga Joule,,,,Giga Joule,,,0.0,0.0,0.0,,42.9892119,-81.24660554163279
BOYLE CC,Community centres,530 CHARLOTTE ST,LONDON,N5W 4A4,791.74,Square meters,126,,,kWh,,Cubic Meter,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,42.9966771347937,-81.2186794443261
