Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments,lat,lng
ADELAIDE OPS CTRE - 1153,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1153 ADELAIDE ST N,LONDON,N5Y 2N4,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,68.88987,0.0,,43.023021,-81.248902
ADELAIDE PCP,Facilities related to the treatment of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,0.0,Square feet,168,9041.05,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,586.87921,,43.0114376,-81.24279609999998
ADELAIDE PUMP STN,Facilities related to the pumping of sewage,1201 ADELAIDE ST N,LONDON,N5Y 2N4,0.0,Square feet,168,8259.99,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,274.67583,,43.0114376,-81.24279609999998
ADMIN-PCP,"Storage facilities where equipment or vehicles are maintained, repaired or stored",3901 WEST GRAHAM PL,LONDON,N6P 1G4,825.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,80.97922,0.0,,42.9161701,-81.3205858
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,50,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,68.96145,0.0,,42.98485520000001,-81.2304173
AJ TYLER - UNIT QUONSE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,168,0.0,0.0,,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,38.913579999999996,0.0,,42.98485520000001,-81.2304173
AJ TYLER BLDG -# 1 WATER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,50,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,31.258709999999997,0.0,,42.98485520000001,-81.2304173
AJ TYLER BLDG- STORES BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",665 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,50,0.0,118.91129,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,746.78587,0.0,,42.9833314,-81.2362615
AJ TYLER BLDG-# 2 SEWER STORAGE,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,50,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,35.08641,0.0,,42.98485520000001,-81.2304173
AJ TYLER BLDG-GUARD SHED,Other,665 BATHURST ST,LONDON,N5Z 1P8,80.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,289.32023,90.38772,0.0,,42.9833314,-81.2362615
AJ TYLER BLDG-PKG LOT,Parking garages,663 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,5.86466,0.0,,42.98485520000001,-81.2304173
AJ TYLER BLDG-WATER/SEWER BLDG,"Storage facilities where equipment or vehicles are maintained, repaired or stored",663 BATHURST ST,LONDON,N5Z 1P8,0.0,Square feet,50,0.0,0.0,,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,18.18689,0.0,,42.98485520000001,-81.2304173
ARGYLE ARENA,Indoor recreational facilities,1948 WAVELL ST,LONDON,N5V 1P4,0.0,Square feet,126,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,58.295230000000004,0.0,,43.000208949925785,-81.16855024517321
ARVA PUMPING,Facilities related to the pumping of water,13966 MEDWAY RD,LONDON,N0M 1C0,0.0,Square feet,168,36183.5,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,150.22031,,,
