Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Notes,full_address,geocode,lat,lng
BOSTWICK PUMP STN,Facilities related to the pumping of sewage,1451 WHARNCLIFFE RD S,London,N6L 1J9,375.00,Square feet,168,142.0,"39,032.71",kWh,,,,,,,,,,,,,,,,,,,,,"3,122.61680",104.08723,274.87824,,"1451 WHARNCLIFFE RD S, London Ontario","{""lat"": 42.9293558617346, ""lng"": -81.2706747389808, ""boundingbox"": [""42.929305861735"", ""42.929405861735"", ""-81.270724738981"", ""-81.270624738981""]}",42.9293558617346,-81.2706747389808
BOYLE CC,Community centres,530 CHARLOTTE ST,London,N5W 4A4,"8,522.00",Square feet,126,,"69,109.51",kWh,"4,336.33",Cubic meter,,,,,,,,,,,,,,,,,,,"13,727.14338",13.51737,,,"530 CHARLOTTE ST, London Ontario","{""lat"": 42.9966771347937, ""lng"": -81.2186794443261, ""boundingbox"": [""42.996627134794"", ""42.996727134794"", ""-81.218729444326"", ""-81.218629444326""]}",42.9966771347937,-81.2186794443261
BROOKDALE PUMP STN,Facilities related to the pumping of sewage,24 BROOKDALE AVE,London,N6J 2W4 ,0.00,Square feet,168,36.0,"7,420.57",kWh,,,,,,,,,,,,,,,,,,,,,593.64560,,206.12694,,"24 BROOKDALE AVE, London Ontario","{""lat"": 42.9745474, ""lng"": -81.2673897, ""boundingbox"": [""42.9744974"", ""42.9745974"", ""-81.2674397"", ""-81.2673397""]}",42.9745474,-81.2673897
BROUGHDALE PUMP STN,Facilities related to the pumping of sewage,37 TOWER LANE,London,N6A 3L1,280.00,Square feet,168,163.0,"28,014.78",kWh,,,,,,,,,,,,,,,,,,,,,"2,241.18240",100.05279,171.86982,,"37 TOWER LANE, London Ontario","{""lat"": 43.00869665, ""lng"": -81.2648525560892, ""boundingbox"": [""43.0086719"", ""43.0087213"", ""-81.2648908"", ""-81.2648143""]}",43.00869665,-81.2648525560892
BYRON CC - POLE BASE,Community centres,1308 NORMAN AVE,London,N6K 2A3,"8,290.00",Square feet,126,,"84,342.27",kWh,"22,492.71",Cubic meter,,,,,,,,,,,,,,,,,,,"49,272.70643",39.00962,,,"1308 NORMAN AVE, London Ontario","{""lat"": 42.9571509, ""lng"": -81.3361288, ""boundingbox"": [""42.9571009"", ""42.9572009"", ""-81.3361788"", ""-81.3360788""]}",42.9571509,-81.3361288
BYRON PUMP STN,Facilities related to the pumping of sewage,1322 OLD BRIDGE RD,London,N6K 1Y2,540.00,Square feet,168,1923.0,"178,662.15",kWh,,,,,,,,,,,,,,,,,,,,,"14,292.97200",330.85583,92.90803,,"1322 OLD BRIDGE RD, London Ontario",,,
CANADA GAMES AQUATIC CTR,Indoor swimming pools,1045 WONDERLAND RD N,London,N6G 2Y9,"51,248.00",Square feet,126,,"1,899,857.11",kWh,"142,130.21",Cubic meter,,,,,,,,,,,,,,,,,,,"420,703.78134",66.5467,,,"1045 WONDERLAND RD N, London Ontario","{""lat"": 43.0028073343031, ""lng"": -81.3025458868209, ""boundingbox"": [""43.002757334303"", ""43.002857334303"", ""-81.302595886821"", ""-81.302495886821""]}",43.0028073343031,-81.3025458868209
CARLING ARENA,Indoor ice rinks,675 GROSVENOR ST,London,N5Y 3T5,"52,390.00",Square feet,126,,"981,526.18",kWh,"103,605.26",Cubic meter,,,,,,,,,,,,,,,,,,,"274,400.99630",39.75224,,,"675 GROSVENOR ST, London Ontario","{""lat"": 43.005562, ""lng"": -81.234056, ""boundingbox"": [""43.005512"", ""43.005612"", ""-81.234106"", ""-81.234006""]}",43.005562,-81.234056
CARLING HEIGHTS OCC,Community centres,654 ELIZABETH ST,London,N5Y 6L3,"38,090.00",Square feet,126,,"38,064.67",kWh,"118,351.07",Cubic meter,,,,,,,,,,,,,,,,,,,"226,802.90202",34.021359999999994,,,"654 ELIZABETH ST, London Ontario","{""lat"": 42.9987718, ""lng"": -81.233576, ""boundingbox"": [""42.9968781"", ""43.0009149"", ""-81.2346405"", ""-81.2326457""]}",42.9987718,-81.233576
CARLING HEIGHTS OCC-POOL,Indoor swimming pools,656 ELIZABETH ST,London,N5Y 6L3,"11,690.00",Square feet,126,,"1,324,855.12",kWh,,,,,,,,,,,,,,,,,,,,,"105,988.40960",113.33235,,,"656 ELIZABETH ST, London Ontario","{""lat"": 42.9987718, ""lng"": -81.233576, ""boundingbox"": [""42.9968781"", ""43.0009149"", ""-81.2346405"", ""-81.2326457""]}",42.9987718,-81.233576
