Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
AJ TYLER - MAIN BLDG & (E) WATER/SEWER BLDG,"Administrative offices and related facilities, including municipal council chambers",663 BATHURST ST,London,N5Z 1P8,12721,Square feet,50,0,960267.38,kWh,"  83,365 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  249,835 ",  145 ,  -   ,
CITY HALL,"Administrative offices and related facilities, including municipal council chambers",300 DUFFERIN AVE,London,N6B 1Z2,174990,Square feet,126,0,2551993.7,kWh,  -   ,Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,3979.5966,Giga Joule,No,0,2940.6648,Giga Joule,No,0,"  504,850 ",  22 ,  -   ,
ENVIRO PROGS - RENTAL,"Administrative offices and related facilities, including municipal council chambers","520 WELLINGTON ST UN 1,2,3",London,N6A 3R2,2819,Square feet,60,0,21751.92,kWh,  -   ,Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  2,089 ",  8 ,  -   ,
J ALLAN TAYLOR BLDG,"Administrative offices and related facilities, including municipal council chambers",267 DUNDAS ST,London,N6A 1H2,26110,Square feet,70,0,286063.9,kWh,"  7,773 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,1454.6448,Giga Joule,No,0,1851.125577,Giga Joule,No,0,"  143,392 ",  36 ,  -   ,
OXFORD OPS CTRE,"Administrative offices and related facilities, including municipal council chambers",1570 OXFORD ST W,London,N6H 1W2,2700,Square feet,80,0,5346.894013,kWh,"  9,635 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  18,731 ",  40 ,  -   ,
PROVINCIAL OFFENCE ACT OFFICES,"Administrative offices and related facilities, including municipal council chambers",824 DUNDAS ST,London,N5W 5R1,22690,Square feet,70,0,336642.3,kWh,"  30,840 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  90,638 ",  29 ,  -   ,
T-BLOCK(NG shared WOLSELY),"Administrative offices and related facilities, including municipal council chambers",652 ELIZABETH ST,London,N5Y 4T7,16320,Square feet,70,0,38788.23,kWh,"  40,428 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  80,160 ",  29 ,  -   ,
TOURISM LONDON,"Administrative offices and related facilities, including municipal council chambers",696 WELLINGTON RD,London,N6C 4R2,3400,Square feet,70,0,32128.2,kWh,"  10,888 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  23,670 ",  43 ,  -   ,
CENTENNIAL HALL,Auditoriums,550 WELLINGTON ST,London,N6A 3P9,50050,Square feet,70,0,835993.34,kWh,  -   ,Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,2897.6966,Giga Joule,No,0,1024.0041,Giga Joule,No,0,"  260,395 ",  35 ,  -   ,
BOYLE CC,Community centres,530 CHARLOTTE ST,London,N5W 4A4,8522,Square feet,126,0,66450.24,kWh,"  9,787 ",Cubic Meter,0,Litre,0,Litre,0,Litre,0,Metric Tonne,0,Metric Tonne,0,Giga Joule,,,0,Giga Joule,,,"  24,886 ",  20 ,  -   ,
