Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
FIRE HALL # 10,Fire stations and associated offices and facilities,2125 TRAFALGAR ST,LONDON,N5V 4Z7,"9,063.00",Square feet,168,0.00000,"121,068.00000",kWh,"19,519.57383",Cubic Meter,,,,,,,,,,,,,,,,,,,"41,207.95857",36.24823,0.00000,
FIRE HALL # 11,Fire stations and associated offices and facilities,7109 WESTMINSTER DR,LONDON,N6P 1N4,"10,187.00",Square feet,168,0.00000,"97,352.17386",kWh,"20,848.52442",Cubic Meter,,,,,,,,,,,,,,,,,,,"42,877.45826",31.30712,0.00000,
FIRE HALL # 12,Fire stations and associated offices and facilities,275 BOLER RD,LONDON,N6K 2J9,"12,000.00",Square feet,168,0.00000,"268,742.00000",kWh,"27,344.83485",Cubic Meter,,,,,,,,,,,,,,,,,,,"61,252.12370",46.61307,0.00000,
FIRE HALL # 12-GREY BOX SEASONAL,Fire stations and associated offices and facilities,275 BOLER RD,LONDON,N6K 2J9,100.00,Square feet,168,0.00000,478.00000,kWh,,,,,,,,,,,,,,,,,,,,,16.99194,4.78000,0.00000,
FIRE HALL # 13,Fire stations and associated offices and facilities,790 FANSHAWE PK RD E,LONDON,N5X 1L5,"4,400.00",Square feet,168,0.00000,"28,685.00000",kWh,"4,095.11491",Cubic Meter,,,,,,,,,,,,,,,,,,,"8,762.02919",16.41067,0.00000,
FIRE HALL # 14,Fire stations and associated offices and facilities,2225 HYDE PARK RD,LONDON,N6H 5K2,"8,429.00",Square feet,168,0.00000,"69,546.00000",kWh,"6,298.31993",Cubic Meter,,,,,,,,,,,,,,,,,,,"14,379.99492",16.19209,0.00000,
FORKS OF THE THAMES MUSEUM & SPL P,Other,1 DUNDAS ST,LONDON,N6A 5L7,"1,760.00",Square feet,168,0.00000,"44,527.82940",kWh,"1,724.96383",Cubic Meter,,,,,,,,,,,,,,,,,,,"4,844.13847",35.71611,0.00000,
GIBBONS PARK-POOL-SPLASH PAD,Other,2A GROSVENOR ST,LONDON,N6A 1Y4,"3,746.00",Square feet,168,0.00000,"35,103.72645",kWh,"6,932.06192",Cubic Meter,,,,,,,,,,,,,,,,,,,"14,353.81071",29.03794,0.00000,
GLANWORTH PARK-FIELD HOUSE,Other,6536 BRADISH RD,LONDON,N6N 1N6,"2,165.00",Square feet,126,0.00000,"1,711.76452",kWh,,,,,,,,,,,,,,,,,,,,,60.84981,0.79065,0.00000,
GLEN CAIRN ARENA & POOL,Indoor ice rinks,370 CHIPPENDALE CRES,LONDON,N5Z 3G2,"29,370.00",Square feet,168,0.00000,"428,732.00000",kWh,"46,470.00000",Cubic Meter,,,,,,,,,,,,,,,,,,,"103,098.00183",31.41317,0.00000,
GORE RD PUMP STN,Facilities related to the pumping of sewage,3045 GORE RD,LONDON,N5V 4T2,0.00,Square feet,168,3.26000,"1,540.16255",kWh,,,,,,,,,,,,,,,,,,,,,54.74970,0.00000,472.44250,
